Backup Log: C:\Users\vmadmin\lilaluBackup\lilaluLog.txt
 
Copy from: C:\Users\vmadmin\lilalu
To:        C:\Users\vmadmin\lilaluBackup
 
Operation     Time                   DateiName
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 6\6 Textdokument - Kopie (4).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 6\6 Textdokument - Kopie.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 6\6 Textdokument.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 7\7 Textdokument - Kopie (2).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 7\7 Textdokument - Kopie (3).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 7\7 Textdokument - Kopie (4).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 7\7 Textdokument - Kopie.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 7\7 Textdokument.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 8\8 Textdokument - Kopie (2).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 8\8 Textdokument - Kopie (3).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 8\8 Textdokument - Kopie (4).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 8\8 Textdokument - Kopie.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 8\8 Textdokument.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 9\9 Textdokument - Kopie (2).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 9\9 Textdokument - Kopie (3).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 9\9 Textdokument - Kopie (4).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 9\9 Textdokument - Kopie.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 9\9 Textdokument.txt
